seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Argentina,2047.1462421516312,2.6354999999999995,2.226800000000001,2.777454545454546,0.24580000000000005
Spain,2000.9932289367907,2.4006000000000007,2.2096000000000005,2.1698363636363633,0.41089090909090903
France,2004.173357447724,2.6354999999999995,1.8984000000000003,2.742127272727273,0.9630181818181819
Brazil,1956.5655283641893,2.0361000000000002,1.5906000000000002,2.599418181818182,1.008818181818182
Portugal,1913.9739500637463,2.1277000000000004,1.6893,2.25409090909091,0.7039636363636363
England,1926.46136816365,2.4555,1.9658000000000002,1.9687454545454546,0.3608181818181818
Colombia,1930.283260560583,2.2168000000000005,1.3455000000000001,1.8837818181818184,0.8497636363636364
Germany,1884.3520321450765,2.4813000000000005,1.9340000000000006,3.0737636363636374,0.9409454545454548
Ecuador,1869.7884611747277,1.7022000000000004,0.5293,1.3133818181818182,0.591890909090909
Netherlands,1905.144571217601,2.1819,1.5806000000000002,2.3169818181818185,0.9352000000000001
Belgium,1876.4270659896995,2.2206,2.6599,3.125872727272727,0.6449090909090909
Japan,1873.3854687149997,2.1277000000000004,1.3077000000000003,1.8016545454545456,0.5801090909090909
Croatia,1870.4779033812142,2.1738000000000004,0.6841000000000002,1.7244363636363638,1.4313454545454547
Morocco,1886.9938453436866,2.4006000000000007,1.6751,2.3206,0.5858545454545454
Uruguay,1826.5588028351826,1.3374000000000004,-0.027099999999999985,0.8839636363636363,1.1165090909090911
Italy,1854.00976951094,2.5,1.4,1.690909090909091,0.7818181818181819
Mexico,1886.9924381329315,2.4897,1.5726000000000002,2.0762727272727277,0.22532727272727276
Turkey,1803.9276863763484,2.1225,0.7228000000000001,2.02309090909091,1.0219454545454547
Senegal,1801.8736209360309,1.7580000000000002,0.7583,1.8346181818181821,1.2685090909090913
Iran,1807.5316978168955,1.5103000000000002,0.8019000000000002,1.7332545454545458,0.6596363636363637
South Korea,1778.9168207995526,1.6280999999999999,0.036800000000000055,1.354909090909091,0.9734909090909092
Switzerland,1828.8683218417336,2.0361000000000002,1.3906000000000003,2.085745454545455,1.0397636363636364
Algeria,1811.3795775249773,2.0467000000000004,1.0863,2.1368181818181826,0.8583272727272728
Denmark,1804.237345329736,1.9,1.4,2.2181818181818183,1.1636363636363636
Australia,1789.781862827588,1.5094000000000003,0.20070000000000005,1.1030727272727272,0.9752727272727274
Ukraine,1785.2381847069876,1.6,-0.1,1.4545454545454546,1.4181818181818182
Paraguay,1783.479741184751,1.3906000000000003,-0.15300000000000005,1.3108909090909093,1.4638909090909091
Austria,1787.8432901098276,2.1655,1.6587000000000003,2.2660909090909094,0.8658545454545454
Norway,1804.8091276085204,2.0439000000000003,1.7097,2.4170909090909096,1.3237272727272726
Canada,1748.2129703142264,1.4445000000000001,0.7316000000000001,1.4897636363636366,0.7184000000000001
Yugoslavia,1763.2220444112638,1.4,0.8,1.7818181818181815,1.4
Russia,1756.3969372182612,2.0,1.2,1.7454545454545454,0.5636363636363636
United States,1773.3839570080934,1.8981000000000001,0.7604000000000002,2.4005818181818186,1.7329636363636367
Egypt,1765.362943384205,1.7632000000000003,0.6903000000000001,1.3655636363636368,0.7481636363636364
Panama,1688.8569564160111,1.1664000000000003,-0.2252,1.3519636363636365,1.736218181818182
Ivory Coast,1762.1467484499858,2.1468000000000007,0.9929000000000001,1.9482909090909097,0.7897090909090909
Nigeria,1733.6360906825294,1.9,1.1,1.7454545454545454,1.0
Uzbekistan,1683.9533989603594,1.0935000000000001,-0.4475,0.9895272727272729,1.8280363636363637
Jersey,1724.639615061543,2.5,1.7,2.8181818181818183,1.3636363636363635
Chile,1721.631090978954,1.6,-0.2,1.7272727272727273,1.6727272727272726
Venezuela,1721.2928353306445,1.0,-0.6,1.290909090909091,1.2181818181818185
