fecha,jornada,grupo,equipo_local,equipo_visita,goles_esperados_local,goles_esperados_visita,prob_victoria_local,prob_empate,prob_victoria_visita,prob_over_0_5,marcador_mas_probable
2026-06-25,3,F,Tunisia,Netherlands,0.61,2.16,0.0904,0.1802,0.7294,0.936,0-2
2026-06-25,3,F,Japan,Sweden,1.87,0.7,0.6519,0.2179,0.1302,0.9217,1-0
2026-06-26,3,G,New Zealand,Belgium,0.63,2.14,0.0944,0.1833,0.7222,0.9357,0-2
2026-06-26,3,G,Egypt,Iran,0.83,1.17,0.2589,0.3066,0.4345,0.8632,0-1
2026-06-26,3,H,Uruguay,Spain,0.7,1.56,0.1646,0.2582,0.5771,0.8929,0-1
2026-06-26,3,H,Cape Verde,Saudi Arabia,1.02,1.09,0.3311,0.3029,0.3661,0.877,1-1
2026-06-26,3,I,Norway,France,0.93,1.68,0.207,0.2462,0.5468,0.9246,0-1
2026-06-26,3,I,Senegal,Iraq,1.4,0.79,0.5108,0.2787,0.2104,0.8865,1-0
2026-06-27,3,J,Jordan,Argentina,0.42,3.24,0.0232,0.0756,0.9012,0.9736,0-3
2026-06-27,3,J,Algeria,Austria,1.08,1.08,0.3517,0.2992,0.3491,0.8825,1-1
2026-06-27,3,K,Colombia,Portugal,1.18,1.17,0.3615,0.2851,0.3534,0.9019,1-1
2026-06-27,3,K,DR Congo,Uzbekistan,0.97,1.02,0.3301,0.3148,0.3551,0.8601,0-0
2026-06-27,3,L,Panama,England,0.64,2.07,0.1017,0.1917,0.7066,0.932,0-2
2026-06-27,3,L,Croatia,Ghana,1.8,0.74,0.6233,0.229,0.1477,0.919,1-0
