grupo,equipo_local,equipo_visita,goles_esperados_local,goles_esperados_visita,prob_victoria_local,prob_empate,prob_victoria_visita,marcador_mas_probable,prob_marcador_mas_probable
G,Egypt,New Zealand,1.3,0.76,0.4912,0.2923,0.2165,1-0,0.1628
G,Iran,New Zealand,1.66,0.62,0.6224,0.2425,0.1351,1-0,0.1674
H,Spain,Cape Verde,2.91,0.45,0.8663,0.0996,0.0341,2-0,0.1467
H,Spain,Saudi Arabia,2.46,0.47,0.8106,0.1376,0.0518,2-0,0.1608
H,Spain,Uruguay,1.57,0.72,0.5755,0.2566,0.1679,1-0,0.1571
H,Cape Verde,Saudi Arabia,0.97,1.19,0.2945,0.2971,0.4084,1-1,0.1355
H,Cape Verde,Uruguay,0.62,1.81,0.1186,0.2221,0.6593,0-1,0.1586
H,Saudi Arabia,Uruguay,0.64,1.53,0.1533,0.2606,0.5862,0-1,0.1721
I,France,Senegal,1.59,0.84,0.5487,0.2559,0.1954,1-0,0.1386
I,France,Iraq,1.97,0.62,0.6933,0.2016,0.1052,1-0,0.146
I,France,Norway,1.67,0.92,0.5477,0.2475,0.2048,1-0,0.1235
I,Senegal,Iraq,1.33,0.79,0.4919,0.2879,0.2203,1-0,0.1571
I,Senegal,Norway,1.12,1.17,0.343,0.2886,0.3684,1-1,0.135
I,Iraq,Norway,0.83,1.46,0.2116,0.2708,0.5176,0-1,0.1453
J,Argentina,Algeria,1.68,0.66,0.619,0.2407,0.1403,1-0,0.1607
J,Argentina,Austria,1.87,0.64,0.6664,0.2154,0.1183,1-0,0.1502
J,Argentina,Jordan,3.08,0.44,0.8853,0.0866,0.0281,3-0,0.1447
J,Algeria,Austria,1.14,1.0,0.386,0.2999,0.3141,1-1,0.1365
J,Algeria,Jordan,1.88,0.68,0.6579,0.216,0.1261,1-0,0.1429
J,Austria,Jordan,1.84,0.76,0.628,0.2246,0.1474,1-0,0.1346
K,Portugal,DR Congo,1.71,0.63,0.6316,0.236,0.1324,1-0,0.1623
K,Portugal,Uzbekistan,1.66,0.73,0.5934,0.2454,0.1612,1-0,0.1494
K,Portugal,Colombia,1.22,1.15,0.3754,0.2839,0.3408,1-1,0.1337
K,DR Congo,Uzbekistan,0.9,1.07,0.2976,0.3145,0.3879,0-1,0.1468
K,DR Congo,Colombia,0.66,1.67,0.142,0.2419,0.6162,0-1,0.1607
K,Uzbekistan,Colombia,0.76,1.62,0.1724,0.2505,0.5771,0-1,0.1472
L,England,Croatia,1.46,0.86,0.5089,0.2707,0.2204,1-0,0.1407
L,England,Ghana,2.42,0.47,0.8048,0.1416,0.0536,2-0,0.1619
L,England,Panama,1.97,0.67,0.6784,0.2055,0.1161,1-0,0.139
L,Croatia,Ghana,2.0,0.66,0.6873,0.2013,0.1114,2-0,0.1398
L,Croatia,Panama,1.62,0.93,0.5325,0.2524,0.2151,1-0,0.1238
L,Ghana,Panama,0.89,1.55,0.2138,0.26,0.5262,0-1,0.1329
